SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99201.0 ETMA201 "APPLIED MATHEMATICS - III" 16 34 50 4
27203.0 ETCS203 "ANALOG ELECTRONICS" 13 39 52 4
28205.0 ETEC205 "CIRCUITS AND SYSTEMS" 11 39 50 4
27207.0 ETCS207 "FOUNDATIONS OF COMPUTER SYSTEMS" 20 47 67 4
31209.0 ETIT209 "OBJECT ORIENTED PROGRAMMING USING C++" 18 56 74 4
27211.0 ETCS211 "DATA STRUCTURES" 20 59 79 4
27251.0 ETCS251 "ANALOG ELECTRONICS LAB" 31 50 81 1
28253.0 ETEC253 "CIRCUITS & SYSTEMS LAB" 37 51 88 1
31255.0 ETIT255 "OBJECT ORIENTED PROGRAMMING USING C++ LAB" 34 51 85 1
27257.0 ETCS257 "DATA STRUCTURE LAB" 33 44 77 1
